"1. 医师：你最近身体有什么不舒服的吗？  
2. 患者：最近半年，我老是肚子痛，还腹泻，挺难受的。  
3. 医师：能描述一下腹痛的具体位置和性质吗？  
4. 患者：一开始就是肚脐周围有点不舒服，间歇性的，好像吃完饭后比较厉害。后来越来越痛，感觉是阵发性剧痛。  
5. 医师：阵发性剧痛发生的频率有增加吗？  
6. 患者：是的，最近这阵子更频繁了。  
7. 医师：腹痛通常持续多久？有缓解的办法吗？  
8. 患者：每次大概好几分钟，有时候一两个小时，自己过一会儿就能缓解。  
9. 医师：腹泻是什么时候开始的？一天大概几次？  
10. 患者：跟肚子痛差不多同时开始的，每天差不多四五次，都是稀的水样便。  
11. 医师：大便里有没有发现黏液或者血？  
12. 患者：有时候有点黏黏的东西，但没有血。  
13. 医师：腹泻后肚子有没有明显的好转？  
14. 患者：好像没什么缓解，还是不舒服。  
15. 医师：这半年有没有体重变化？  
16. 患者：有吧，大概瘦了五公斤左右，我没刻意减肥的。  
17. 医师：最近有没有发烧、恶心或呕吐的情况？  
18. 患者：没有发烧，也没有恶心呕吐。  
19. 医师：你过去有什么慢性病或者类似的症状吗？  
20. 患者：没有，这次是第一次这样。  
21. 医师：家里人有类似的病情或者什么遗传病吗？  
22. 患者：没有，我们家人平时身体都挺好的。  
23. 医师：平时饮食规律吗？有没有吃什么特别的东西？  
24. 患者：还算规律吧，没吃什么特别的，就是想着可能这阵子工作压力大，吃饭也没太多胃口。  
25. 医师：平时会不会喝酒或者抽烟呢？  
26. 患者：偶尔喝点酒，但不抽烟。  
27. 医师：这些症状有没有影响你的工作和生活？  
28. 患者：挺影响的，总是跑厕所，工作也不好集中注意力。  
29. 医师：生活中有没有其他压力比较大的事情？  
30. 患者：工作上有点压力，但也不算特别夸张，就是最近好像身体搞得人整天都没劲。  
31. 医师：我刚刚看了一下你的体格检查，发现你的营养状态有点差，体重下降可能跟吸收问题有关。你最近皮肤也觉得干燥吗？  
32. 患者：是有一点，感觉皮肤不太好，没以前那么滋润。  
33. 医师：腹部的痛点主要集中在什么地方？有没有发现按压哪里会更痛？  
34. 患者：主要在右下腹吧，感觉肚子那里按下去不太舒服。  
35. 医师：有没有突然的剧痛或者晚上痛醒的情况？  
36. 患者：有过几次晚上痛得睡不着。  
37. 医师：平时有没有出现便秘的情况？  
38. 患者：没有，总是拉得稀。  
39. 医师：刚才肠镜检查显示，你的肠道末端出现了溃疡和一些不连续的病变，还有类似鹅卵石样的表现。  
40. 患者：哦，这是什么意思？严不严重啊？  
41. 医师：这说明你的肠道有些炎症反应，需要持续治疗。实验室还显示你的炎症指标CRP和ESR升高，同时有一些轻度的贫血。  
42. 患者：这样啊，那是不是我平时营养也吸收不好？  
43. 医师：是的，你的总蛋白和白蛋白也下降了，这跟大便检查发现的白细胞和黏液有关，提示肠道炎症。  
44. 患者：怎么会这样呢？是不是吃坏了东西？  
45. 医师：我们进一步的CT检查显示，你的小肠有狭窄增厚现象，结合肠镜的结果和病理检查，可以诊断为克罗恩病。  
46. 患者：克罗恩病是什么病？为什么会得这个病？  
47. 医师：这是一个慢性的肠道炎症性疾病，可能跟免疫系统异常、遗传和环境因素有关。目前没有彻底的根治办法，但可以通过药物控制病情，缓解症状。  
48. 患者：那以后还能正常生活吗？会不会越来越严重？  
49. 医师：通过正规治疗和饮食控制，大多数人可以过上接近正常的生活。接下来我们将给你制定治疗方案。  
50. 患者：好的，医生，我会积极配合治疗的。  "
