"1. 医师：你好，请说一下你今天的主要不舒服是什么？
2. 患者：医生，我最近经常感觉心跳特别快，还有点喘不过气，全身冒汗。
3. 医师：这些症状最早是什么时候开始的？
4. 患者：大概半年前吧，那时候我记得是休息的时候突然发生的。
5. 医师：那第一次发作时的感觉是怎样的？
6. 患者：就心跳很快，喘得厉害，全身都出汗，持续了二十分钟左右。
7. 医师：这些症状后来有多频繁出现？
8. 患者：发作越来越频繁了，现在几乎每周都有一两次。
9. 医师：发作的时候能准确说一下持续多久吗？
10. 患者：持续时间不太一定，有时候十几分钟，有时候更久一点。
11. 医师：发作之间有没有什么不舒服的感觉？
12. 患者：没有，间隔时间内都挺正常的。
13. 医师：发作的时候你还会出现别的症状吗，比如头晕、恶心或胸口疼？
14. 患者：没有，就是心跳很快喘不上气，全身都黏糊糊的在出汗。
15. 医师：你觉得什么情况会引发这些症状？比如运动、劳累、情绪紧张？
16. 患者：没有，就是休息的时候都可能突然发作，没有预兆。
17. 医师：你有没有高血压、糖尿病等病史？
18. 患者：没有，我以前很健康的。
19. 医师：家里有没有类似的病史？比如父母或者兄弟姐妹？
20. 患者：没有，家里人身体都挺好的。
21. 医师：你平时有没有长时间服用什么药物？
22. 患者：没有，一般连感冒药都很少吃。
23. 医师：对某些药物或者食物有过敏反应吗？
24. 患者：没有过，我不过敏。
25. 医师：最近体重有没有异常的变化？
26. 患者：体重没什么明显变化，一直挺稳定的。
27. 医师：你平时的生活作息怎么样？
28. 患者：我生活挺规律的，也没熬夜什么的。
29. 医师：平时喝咖啡还是茶比较多？
30. 患者：不多，偶尔喝一杯咖啡提提神。
31. 医师：体检查的时候发现你心率比较快，血压也高，你之前知不知道自己血压高？
32. 患者：我不知道，之前没感觉不舒服就没测过。
33. 医师：最近有没有特别的压力或者情绪波动？
34. 患者：没有特别大的压力，生活还算平稳。
35. 医师：你说全身出汗，这出汗的量和平时的区别大吗？
36. 患者：特别多，衣服都湿透了，很吓人。
37. 医师：有没有过类似的头痛或视觉模糊？
38. 患者：没有，头也不痛，视力也没问题。
39. 医师：最近有没有特别容易疲劳或者乏力？
40. 患者：没有感觉特别累，状态还可以。
41. 医师：工作或者家里有没有什么化学品接触的历史？
42. 患者：没有呀，我办公室工作，很少接触这些东西。
43. 医师：睡眠如何？有没有睡不好或者醒来觉得很累？
44. 患者：睡得还挺好的，没啥问题。
45. 医师：这次来看病之前有没有尝试自己用药缓解症状？
46. 患者：没有，就是想来医院看看怎么回事。
47. 医师：你的症状加上检查结果，我们高度怀疑可能是肾上腺方面的问题。
48. 患者：肾上腺的问题？是很严重吗？
49. 医师：根据您的尿液和影像学检查结果，我们初步诊断为左侧嗜铬细胞瘤。
50. 患者：嗜铬细胞瘤？听着好像挺复杂，是能完全治好吗？"
