"1. 医师：您好，请问您今天哪里不舒服？  
2. 患者：医生，我觉得喉咙肿了，好像有点疼，还有点无力的感觉。  
3. 医师：这种情况持续多久了？  
4. 患者：大概有两周了吧。  
5. 医师：两周前症状最开始是什么样的？  
6. 患者：刚开始就是喉咙有点轻微的疼痛，然后感觉慢慢肿起来了，现在挺明显的还有一点压痛。  
7. 医师：除了喉咙肿痛之外，还有其他不适吗，比如发热？  
8. 患者：是的，有时会有点低烧，最高好像38度多一点。  
9. 医师：吃东西或者吞咽的时候有没有不舒服呢？  
10. 患者：没有特别不舒服，吃饭也没什么问题。  
11. 医师：最近有没有感觉体重下降或者食欲不好？  
12. 患者：体重没有什么变化，食欲也挺正常的。  
13. 医师：咳嗽、咳痰或者呼吸困难呢？  
14. 患者：没有这些情况。  
15. 医师：之前有没有得过甲状腺相关的疾病，比如甲亢或者甲减？  
16. 患者：没有，我从来没听说过这些病。  
17. 医师：家里其他人有没有甲状腺疾病的病史？  
18. 患者：没有，家族里没有人得过这种病。  
19. 医师：之前有没有患过什么慢性病，或者在长期服用什么药物？  
20. 患者：没有，我一直身体还挺好的，也没吃什么药。  
21. 医师：对哪些食物或者药物有过敏吗？  
22. 患者：没有过敏史。  
23. 医师：最近的一段时间有没有剧烈运动或者过度劳累？  
24. 患者：没有，最近生活还挺规律的。  
25. 医师：白天一般疲劳感明显吗？有没有影响到您的正常活动？  
26. 患者：是有点乏力，但还不至于影响活动，就是觉得没以前那么有精神了。  
27. 医师：最近有没有感到情绪低落、紧张或者其他心理上的压力？  
28. 患者：没有特别大的压力，心情一直都挺平稳的。  
29. 医师：家里人有没有注意到您的喉咙肿了或者感觉到您不对劲？  
30. 患者：家人说我的脖子好像有点肿，但是不是特别明显。  
31. 医师：好的，我来给您检查一下。请您稍微仰起头。… 我摸到您的甲状腺右侧有点肿大，而且按压的时候您会觉得痛对吗？  
32. 患者：对，按的时候确实有点疼。  
33. 医师：从触诊来看，您的甲状腺右侧确实有一点问题，不过整体质地中等，没有摸到什么结节或者肿块。  
34. 患者：那这个问题严重吗？  
35. 医师：目前还不能完全确定，需要结合一些其他的检查结果来判断，比如血液和甲状腺的功能指标。  
36. 患者：好，那需要抽血对吧？  
37. 医师：是的，我们需要查一下血常规、炎症指标以及甲状腺功能。  
38. 患者：好的，那我去做检查。  
39. 医师：顺便还会给您做一个甲状腺的超声看看内部情况，应该不用花太久时间。  
40. 患者：明白了，检查完再和您说。  
（检查后）  
41. 医师：检查结果显示，您的炎症指标偏高，血常规显示白细胞升高，同时甲状腺功能的指标也有一些异常。  
42. 患者：那这些说明我喉咙的问题是什么问题呢？  
43. 医师：您目前的症状和检查结果综合考虑，很可能是亚急性甲状腺炎。  
44. 患者：亚急性甲状腺炎？这是什么病？  
45. 医师：大致可以理解为甲状腺因为感染或免疫反应引发的暂时性炎症，有时候会引起喉咙肿痛、发热和乏力。  
46. 患者：那这个能治好吗？  
47. 医师：可以的，这种情况一般是自限性的，但为了缓解症状，我们可以用一些药物帮助您恢复。  
48. 患者：需要用什么药呢？  
49. 医师：我们会给您开布洛芬来减轻疼痛和炎症，如果症状严重可能还需要短期用糖皮质激素，比如泼尼松。  
50. 患者：好的，那我会按您说的治疗，谢谢医生！"
