"1. 医师：您最近身体有哪里不舒服吗？  
2. 患者：我最近头痛得很厉害，持续好几周了。  
3. 医师：头痛是什么时候开始的？有没有发生什么特别的事情引发？  
4. 患者：大概六周前开始的，没有什么特别的事情发生。  
5. 医师：您的头痛是持续的还是间歇性的呢？  
6. 患者：一开始是间歇性，现在变成了持续性的，而且越来越严重。  
7. 医师：您能描述一下头痛的感觉吗？比如胀痛、刺痛还是跳痛？  
8. 患者：主要是胀痛，一直觉得脑袋很压抑的那种感觉。  
9. 医师：用了什么药物缓解头痛吗？效果怎么样？  
10. 患者：吃了止痛药，可是没什么效果。  
11. 医师：除了头痛外，还有其他不舒服的症状吗？  
12. 患者：有时候会呕吐，特别是早上的时候。  
13. 医师：呕吐的时候有没有明显的诱因，比如吃了什么特别的食物？  
14. 患者：没有特别的原因，有时候刚起床就有想吐的感觉。  
15. 医师：呕吐的时候吐的多吗？  
16. 患者：不多，量很少。  
17. 医师：最近您的心情怎么样呢？  
18. 患者：感觉很差，情绪一直低落，对什么都提不起兴趣。  
19. 医师：这种情绪低落的感觉是从什么时候开始的？  
20. 患者：大概跟头痛差不多时候吧。  
21. 医师：那最近有没有觉得注意力难以集中或者工作效率降低？  
22. 患者：是的，工作经常分神，一点都集中不了。  
23. 医师：平时您对哪些事情有兴趣呢？现在还有这些兴趣吗？  
24. 患者：以前喜欢钓鱼，现在完全没兴趣，什么都不想做。  
25. 医师：睡眠情况怎么样？能够正常入睡吗？  
26. 患者：最近总是早醒，醒了就再也睡不着了。  
27. 医师：食欲方面有没有什么变化？体重有没有波动到？  
28. 患者：最近食欲很差，六周左右瘦了大约4公斤。  
29. 医师：有没有感到特别的疲劳或者不安？  
30. 患者：是的，总觉得很累，而且心里一直不安宁。  
31. 医师：您的家人有没有觉得您跟以前不一样了？  
32. 患者家属：是的，他最近特别消极，话也少得多，经常一个人发呆。  
33. 医师：过去有没有类似这样的情况出现？  
34. 患者：没有，这是第一次出现这种情况。  
35. 医师：家里有没有人有类似的情绪问题，比如抑郁症？  
36. 患者：没有，家里没有人得过这种病。  
37. 医师：在头痛出现之前，有没有长时间的压力或情绪波动？  
38. 患者：最近工作有些压力，但是好像不至于这样。  
39. 医师：有没有其他不舒服，比如手脚麻木、说话含糊或者看东西模糊？  
40. 患者：没有，没有这些问题。  
41. 医师：头痛过程中有没有出现晕倒、视力变化或者其他严重症状？  
42. 患者：没有晕倒，就是一直头痛。  
43. 医师：最近有没有感冒、发烧或者感染过？  
44. 患者：没有，一直都没生病。  
45. 医师：没有其他慢性疾病，比如高血糖、高血压？  
46. 患者：有高脂血症，其他没有。  
47. 医师：有没有服用什么长期药物或者保健品？  
48. 患者：没有，就平时吃点降脂药。  
49. 医师：我们的检查没有发现脑部有器质性问题，您这次的情况很符合抑郁症的表现。  
50. 患者：什么？抑郁症吗？  
"
