"1. 医师：您好，请问您是什么原因来就诊呢？  
2. 患者：医生，我最近总是会突然感到胸口很闷，很难受，呼吸困难，还有点痛。  
3. 医师：这种情况持续多长时间了呢？  
4. 患者：大概一个月了吧，一开始是一两次，现在每周都有好几次了。  
5. 医师：每次发作的时候，除了胸闷和胸痛，还有其他什么感觉吗？  
6. 患者：是的，有时候会觉得快要死了一样，心跳得特别快，还觉得肚子也不舒服。  
7. 医师：发作的时候通常会持续多久？  
8. 患者：大概二十分钟左右吧，之后会慢慢自己好转。  
9. 医师：这些症状一般是在什么情况下发生的呢？有没有明确的诱因？  
10. 患者：没有特别的原因，就是突然就发生了，我也搞不清楚为什么。  
11. 医师：这些症状发生时，是白天比较多还是晚上比较多？  
12. 患者：没有规律，白天晚上都可能发生。  
13. 医师：发作的时候会不会感到很害怕或者非常紧张？  
14. 患者：是的，每次都很害怕，感觉自己快不行了那种。  
15. 医师：有没有出汗或者身体其他地方不舒服？  
16. 患者：有！出很多汗，四肢也有点麻木。  
17. 医师：发作的时候意识清楚吗？有晕倒过或者昏迷的情况吗？  
18. 患者：意识是清楚的，没有昏倒过。  
19. 医师：您说每周发作好几次，这种频率是什么时候开始的？  
20. 患者：差不多这个月开始，每周至少两三次。  
21. 医师：这些症状之间的间隔时间心情如何？有没有持续的担忧？  
22. 患者：我很担心症状会再来，整个人都觉得很紧张，情绪也很容易波动。  
23. 医师：听起来您对这些症状的发生很在意，睡眠有没有受到影响呢？  
24. 患者：是的，晚上经常睡不好，入睡特别困难。  
25. 医师：这些症状有影响到您的工作或者生活吗？  
26. 患者：还好，基本还能维持日常工作和生活。  
27. 医师：您有没有类似的问题以前出现过？  
28. 患者：没有这么严重，不过我以前得过抑郁症，有吃过药，现在没有吃了。  
29. 医师：除了抑郁症，有没有高血压、心脏病、糖尿病这些疾病？  
30. 患者：没有，这些毛病我都没有。  
31. 医师：您的家里人有没有类似的精神疾病史？  
32. 患者：家里也没有人得过这样的病。  
33. 医师：好的，我会详细检查一下您的身体情况，再分析一下病因。  
34. 患者：好，谢谢医生。  
35. 医师：（查体并说明）：您的体征目前看起来都正常，有些检查我会安排进一步进行。  
36. 患者：好的，医生。  
37. 医师：我们给您做了心电图、动态心电监测以及胸片等检查，结果都非常正常。  
38. 患者：那我这是怎么回事呢？  
39. 医师：听您说的症状，我还怀疑其他可能，例如甲状腺或脑部的问题，您同意的话，我们也做了相关检查。  
40. 患者：好的医生，我愿意配合。  
41. 医师：检查结果显示，您的甲状腺功能、血液检查以及头颅MRI都正常，没有发现实质性问题。  
42. 患者：那我是健康的吗？  
43. 医师：从这些检查结果来看，您身体并没有器质性病变，但您的症状仍需重视。  
44. 患者：那会不会是心理上的问题？  
45. 医师：确实，您的症状符合一种叫恐慌障碍的情况，我给您解释一下。  
46. 患者：恐慌障碍？这是什么？  
47. 医师：这是一种心理相关的疾病，发作时会出现您这种胸闷、濒死感，伴随强烈的恐惧，它不是器质性病变，但同样需要治疗。  
48. 患者：那能治好吗？治疗会很麻烦吗？  
49. 医师：可以治好的，我们通常结合心理治疗和药物治疗，效果很不错。  
50. 患者：谢谢医生，那我放心了！"
