"1. 医師：您好，请问您今天是因为什么原因来看病的呢？  
2. 患者：医生，我最近吞咽东西越来越困难，感觉四肢也越来越没力气。  
3. 医師：这个问题大概从什么时候开始的呢？  
4. 患者：大概从几个月前就开始了，一开始只是觉得疲劳，但最近越来越严重。  
5. 医師：您这个吞咽困难是每天都有还是偶尔才发生？  
6. 患者：几乎每天都有，特别是在晚上或者很累的时候更明显。  
7. 医師：四肢无力的症状是一样的吗？还是某些地方更明显？  
8. 患者：主要是胳膊和腿，尤其是靠近肩膀和大腿根那一块特别没力气。  
9. 医師：这些无力的感觉有没有什么规律，比如运动后更严重还是休息后会缓解？  
10. 患者：确实是休息后会好一些，活动多了就会很明显的累。  
11. 医師：早晨起床的时候感觉怎么样？比白天或晚上好吗？  
12. 患者：对，早晨起来还好一些，到了下午和晚上就会特别没力气。  
13. 医師：最近有没有视力模糊，或者眼皮下垂的情况？  
14. 患者：是的，最近有时候看东西特别模糊，眼皮也总是抬不起来。  
15. 医師：除了刚刚提到的这些，您有没有觉得说话也变得困难了？  
16. 患者：对，说话有时候特别费力，声音都没有以前那么清楚了。  
17. 医師：这段时间有没有觉得呼吸困难或者胸闷？  
18. 患者：没有明显的呼吸困难，但总觉得疲劳。  
19. 医師：您的家人有没有注意到您的这些情况？  
20. 患者家族：是的，我们也发现她活动后不太对劲，眼皮比较松，吃东西特别慢。  
21. 医師：您有没有其他长时间的疾病，比如糖尿病或者高血压？  
22. 患者：我有糖尿病，已经三年了，不过平时不怎么好好控制。  
23. 医師：好的，那您这次有没有伴随其他症状，比如发烧或者疼痛？  
24. 患者：没有，就是觉得整个人越来越虚弱。  
25. 医師：您服用什么药物吗？平时怎么控制糖尿病？  
26. 患者：只有吃过降糖药，但没有按要求每天都吃。  
27. 医師：好的，请问您家中有没有类似的病史，比如家人也有这种症状？  
28. 患者：没有，家里其他人都没有这样的情况。  
29. 医師：最近工作或者生活方面有没有特别大的压力？  
30. 患者：还好吧，就是因为这症状现在什么都做不了，比较烦。  
31. 医師：这症状严重到什么程度了，比如平常的日常活动受到影响了吗？  
32. 患者：有时候吃饭需要很久，走路一段时间就特别累。  
33. 医師：之前是否有类似的症状发生过？还是第一次出现？  
34. 患者：以前没有，就最近几个月越来越严重。  
35. 医師：好的，您有没有其他地方的疼痛感或者烧灼感？  
36. 患者：没有，一点都不疼，单纯就是力气不够。  
37. 医師：您有没有尝试过外用冰袋或者其他降温方法缓解症状？  
38. 患者：没有试过冰袋，这种方法有用吗？  
39. 医師：从医学角度上看，用冰袋有时候能缓解上眼睑下垂的症状。  
40. 患者：那我可以试试。  
41. 医師：您的吞咽困难是从一开始就有还是最近才加重的？  
42. 患者：一开始不太明显，最近变得很严重。  
43. 医師：好的，我们需要安排一些检查，比如血液化验和影像学检查，这样更清楚您的病情。  
44. 患者：是要空腹吗？有什么特别的检查吗？  
45. 医師：会抽血查看抗体水平，同时可能需要一份胸部影像学检查。  
46. 患者：抗体是什么意思？和我这个有关吗？  
47. 医師：这种症状可能和一种免疫性疾病有关，抗体检测可以帮助确认。  
48. 患者：好的，我愿意配合检查。  
49. 医師：根据您的描述，我初步怀疑是重症肌无力，但需要结合检查结果进一步确认。  
50. 患者：这是什么病？会很严重吗？  "
