"1. 医师：您好，请问您最近有什么不舒服的地方吗？  
2. 患者：医生，我最近一直觉得特别累，走路没几步就喘不过气。  
3. 医师：您疲劳和呼吸困难的情况持续了多久了？  
4. 患者：大概有三个月了，刚开始只是活动后累，现在休息的时候也觉得乏力。  
5. 医师：您的症状有逐渐加重吗？  
6. 患者：是的，以前只是轻微的累，现在感觉越来越严重了。  
7. 医师：您有没有其他的不适，比如吞咽困难或说话的问题？  
8. 患者：吞咽食物有点费劲，说话有时候也不太清楚，好像咬字不利索。  
9. 医师：这些症状一天之中有没有变化？  
10. 患者：到傍晚会更加明显。白天可能还好一些。  
11. 医师：眼睛方面有没有什么问题，比如看东西模糊或者眼睑下垂？  
12. 患者：有的，眼皮好像抬不起来，有时候还重影。  
13. 医师：这段时间里，您体重有没有变化？  
14. 患者：没有特别明显的变化，还是和以前差不多。  
15. 医师：您有没有出现发烧、咳嗽或者其他感染症状？  
16. 患者：没有，这些都没有。  
17. 医师：您的生活习惯或者饮食有没有什么改变？  
18. 患者：没有，都跟以前一样。  
19. 医师：您提到的眼睑下垂和复视，是一开始就有的吗？  
20. 患者：不是，刚开始好像没有，后来才慢慢出现的。  
21. 医师：身体的其他部位有没有类似无力的表现？  
22. 患者：有的，四肢特别是胳膊和大腿也没什么力气。  
23. 医师：比如拿重东西或者爬楼梯会不会特别吃力？  
24. 患者：是的，拿重东西特别困难，上楼梯腿很软。  
25. 医师：这种无力的症状有一天比一天严重吗？  
26. 患者：对，慢慢地就越来越厉害了。  
27. 医师：您有没有慢性疾病，比如高血压、糖尿病等？  
28. 患者：有糖尿病，五年前确诊的，一直吃降糖药。  
29. 医师：您平时的血糖控制得好吗？  
30. 患者：还算可以，医生说一直在正常范围。  
31. 医师：您有没有做过手术或者其他大病史？  
32. 患者：没有，一直还算健康。  
33. 医师：家族里有没有类似的遗传性疾病，比如肌肉相关的？  
34. 患者：没有，我家里人都挺健康的。  
35. 医师：听起来您的症状有点特别，我需要进一步检查，看看神经肌肉方面的问题。  
36. 患者：好的，我配合。  
37. 医师：您最近有没有碰到什么压力特别大的事情？  
38. 患者：没有特别大的压力，一切都挺正常的。  
39. 医师：您平时的生活规律吗？作息如何？  
40. 患者：挺规律的，早睡早起。  
41. 医师：复视会不会在用眼较多的时候变得更严重？  
42. 患者：是的，看书时间长了就更加模糊了。  
43. 医师：饮食中的吞咽困难，喝水的时候有没有呛咳？  
44. 患者：没有，就是吃东西会觉得特别慢，有点卡住的感觉。  
45. 医师：您的声音有没有变得嘶哑，或者说话咬字不清？  
46. 患者：有时候会，尤其是累的时候更明显。  
47. 医师：好的，我会安排您做一些神经电生理的检查。  
48. 患者：这些检查会很复杂吗？  
49. 医师：不复杂，但能帮助我们判断问题出在哪。  
50. 医师：结果显示您的症状是由一种叫重症肌无力的疾病引起的。  
"
