"1. 医生：您好，请问您的主要不适是什么？  
2. 患者：医生，我左侧脸颊到下颌这边，时不时会有很痛的感觉。  
3. 医生：这种疼痛是什么时候开始的？  
4. 患者：大概一年前吧，刚开始不是很频繁。  
5. 医生：您能描述一下疼痛的感觉吗？  
6. 患者：有点像被电击一样的剧痛，很突然，每次就持续几秒到几分钟。  
7. 医生：这种疼痛有没有什么诱因，比如碰到脸或者其他活动？  
8. 患者：说话、吃饭、刷牙的时候就容易触发，有时没什么特别动作也会疼。  
9. 医生：最近疼痛的频率和强度有没有变化？  
10. 患者：开始的时候没那么多，但现在每天都会有几十次，挺受影响的。  
11. 医生：疼痛的时候，还有其他伴随的症状吗，比如发热、恶心或者头痛？  
12. 患者：没有，就单纯疼。  
13. 医生：之前有没有过面部外伤或者相关的神经系统疾病？  
14. 患者：没有，我以前都挺健康的。  
15. 医生：家里人有类似的症状吗？  
16. 患者：没有，我们家人都没有这种情况。  
17. 医生：您最近生活压力大吗？或者有没有睡眠不好？  
18. 患者：还好，睡眠开始疼了以后有点受影响，压力不算大。  
19. 医生：好的，我再检查一下您的面部。  
20. 医生：我轻轻按您的左脸时，您这边会疼吗？  
21. 患者：会，疼得很明显。  
22. 医生：右边呢，有没有同样的感觉？  
23. 患者：右边没有问题，按哪儿都不疼。  
24. 医生：左侧的脸颊到下颌，这些地方摸起来有没有觉得麻木？  
25. 患者：有一点点，反正感觉不太一样。  
26. 医生：这一年来，有没有觉得脸部肌肉用力不正常，或者说话、吞咽有困难？  
27. 患者：没有，感觉肌肉还可以，就是疼的时候不敢动。  
28. 医生：双侧的眼睛活动和面部表情都还正常吧？  
29. 患者：是的，没有觉得有什么问题。  
30. 医生：好的，这种情况可能涉及到三叉神经的问题，不过还需要再做一些检查。  
31. 患者：三叉神经？那是什么？  
32. 医生：三叉神经是面部主要的感觉神经，很多面部的疼痛都和它有关系。  
33. 患者：那会不会是很严重的问题？  
34. 医生：我们需要先确认，可能要做个头部的影像检查。  
35. 患者：好的，那检查有风险吗？  
36. 医生：没事的，就是常规的核磁共振和血管造影，不会有副作用。  
37. 患者：嗯，那就做吧，我也想早点解决。  
38. 医生：好的，您有没有其他疾病或者在吃什么药物？  
39. 患者：没有其他病，平时也不吃药。  
40. 医生：那过去有没有经常偏头痛？或者其他神经痛的症状？  
41. 患者：没有，这次的疼痛是第一次感觉到这种。  
42. 医生：好的，那等检查结果出来我们再进一步讨论治疗。  
43. 患者：嗯，希望早点知道结果。  
44. 医生：检查中我们也会测试一些局部麻醉，看能不能缓解疼痛。  
45. 患者：麻醉的话，会不会有什么影响啊？  
46. 医生：只是诊断性测试，用量很小，不用担心。  
47. 患者：好的，我配合您。  
48. 医生：目前初步判断您的情况是三叉神经痛，这是一种可能和神经血管压迫相关的疾病。  
49. 患者：那有办法治吗？疼得我真的没法正常生活了。  
50. 医生：可以，我们会先用药物治疗，比如卡马西平，帮助控制疼痛，您需要按时用药。  
【会谈结束】"
