"1. 医师：您好，请问最近身体有什么不适让您来医院呢？  
2. 患者：医生，这两个月我的腰一直疼得厉害，最近还开始腿麻，走路都困难。  
3. 医师：什么时候开始感觉到腰痛的？会是一直疼还是时好时坏？  
4. 患者：大概两个月前开始的，那时就觉得腰部有点钝痛，活动后痛得更厉害，休息一会儿会好些。  
5. 医师：最近疼痛加重了吗？有没有其他新的症状？  
6. 患者：是的，最近一个月疼痛更严重了，右腿开始发麻，有种针刺一样的感觉。  
7. 医师：这种疼痛是一直在腰部，还是会沿着腿部传播？  
8. 患者：疼痛会从腰部往右腿后侧传，到小腿外侧和脚背那儿。  
9. 医师：什么时候感觉症状最明显？比如早晨、晚上还是干什么时加重？  
10. 患者：早晨或者久坐后最明显，动起来疼痛好像会更厉害。  
11. 医师：这个问题影响到您的日常生活了吗？比如工作或家务。  
12. 患者：是啊，走路都成问题，干活也干不了。  
13. 医师：最近有没有发过烧？受过伤呢？  
14. 患者：没有发烧，也没摔过。  
15. 医师：以前有类似腰痛的经历吗？或者其他疾病史？  
16. 患者：有过慢性腰痛，但没有什么重大病史。  
17. 医师：现在走路会不会觉得腿有点无力或者不稳？  
18. 患者：对，我现在走路感觉挺别扭的，轻轻一动都怕疼。  
19. 医师：那右腿的麻木范围感觉大吗？小腿和脚背也有吗？  
20. 患者：对，都有麻木感，有时像被针扎了一样。  
21. 医师：左腿有没有类似的症状？或者腰痛从左腿传过去的情况？  
22. 患者：没有，左腿还挺正常的。  
23. 医师：那脚和手最近有没有感觉到冰冷，或者有力气不足的地方？  
24. 患者：右脚感觉不如以前有劲，但不觉得冷或者麻得厉害。  
25. 医师：右膝盖或者踝关节处有没有感觉到特别痛或者动作受限？  
26. 患者：没有，就是整条腿麻得不行。  
27. 医师：背部用手按压某些地方的时候，会不会痛得更厉害？  
28. 患者：会的，有几个点按了特别疼。  
29. 医师：其他身体部分有没有别的异常，比如胸部或者肩膀？  
30. 患者：没有，除了腰和右腿，其他地方都还好。  
31. 医师：平时睡觉时，腰痛或者麻木会不会妨碍你入睡？  
32. 患者：是啊，有时候疼醒了，得趴着或者侧躺才能勉强继续睡着。  
33. 医师：平时多长时间坐着或站着的时候会感到加重？  
34. 患者：大概坐上十五二十分钟，就觉得腰痛和腿麻更严重。  
35. 医师：麻木和疼痛的位置有没有随着时间变得更大或者更严重？  
36. 患者：是的，麻木范围好像从大腿开始，一直到了小腿和脚背。  
37. 医师：平常有没有特别的动作或者体位会让症状缓解？  
38. 患者：平躺休息的时候感觉好多了。  
39. 医师：那弯腰或者提东西的时候疼痛明显吗？  
40. 患者：特别明显，提东西就更疼。  
41. 医师：家里人有没有类似的腰疾或者脊柱相关问题的情况？  
42. 患者：没有，我们家人没这些毛病。  
43. 医师：现在会先帮您做个检查，按压腰部和腿部，可能会有些不舒服，您要忍耐一下。  
44. 医师：检查的时候发现您腰部按压有些疼痛，主要在下腰的部位，对吗？  
45. 患者：是的，按到那里特别痛。  
46. 医师：我们通过一个抬腿试验也发现您的右腿症状比较明显，但左腿没问题。  
47. 患者：对，右腿的问题一直很严重，左腿完全没影响。  
48. 医师：结合影像学检查，您L4-L5的椎间盘有椎间盘突出，并压迫到了右侧神经根。  
49. 患者：那这是什么病？  
50. 医师：结合目前的症状和检查结果，您这是L4-L5椎间盘脱出，同时神经受到了压迫。"
