"1. 医师：请问您今天来是因为什么问题呢？  
2. 患者：医生，我最近晚上都睡不好，总是难以入睡。
3. 医师：能跟我具体说一下您睡不好是什么样子吗？  
4. 患者：就是躺在床上翻来覆去，怎么也睡不着，好不容易睡着了还会醒。
5. 医师：这种情况大概持续了多长时间了？  
6. 患者：有两个月了吧，越来越严重。
7. 医师：每晚您大概睡几个小时？  
8. 患者：可能不到4个小时，有时候甚至更少。
9. 医师：您说入睡很困难，大概需要多久才能入睡呢？  
10. 患者：超过一个小时吧，有时候感觉要两个小时。
11. 医师：睡着之后容易醒吗？  
12. 患者：是的，晚上会醒好几次，有时候醒了之后就再也睡不着了。
13. 医师：这对您的日常生活或者工作有没有造成什么影响？  
14. 患者：影响很大，我白天觉得特别累，精力不集中，工作效率很差。
15. 医师：除了疲乏和精力不集中，还有没有其他症状，比如记忆力减退或情绪上的变化？  
16. 患者：有，记忆力变得很差，总觉得情绪低落，还有点紧张焦虑。
17. 医师：在这之前，您有没有经历过类似的睡眠问题？  
18. 患者：没有，之前睡眠一直挺好的。
19. 医师：除了睡眠问题之外，最近身体上有没有其他感觉不舒服的地方？  
20. 患者：没有，身体其他地方都还好。
21. 医师：平时您有喝酒或吸烟的习惯吗？  
22. 患者：不怎么喝酒，也不吸烟。
23. 医师：咖啡或者茶会喝得比较多吗？  
24. 患者：以前喝得多一点，现在晚上失眠严重就很少喝了。
25. 医师：您的饮食和生活习惯最近有没有什么明显的变化？  
26. 患者：没有太大变化，就是因为睡不好，人没精神，也不太运动了。
27. 医师：您有没有遇到什么让您特别担心或者焦虑的事情？  
28. 患者：工作上是有点压力，不过也不是新鲜事，一直都这样。
29. 医师：家里人对您最近的状态有什么看法吗？  
30. 患者：家人也觉得我看起来有点疲惫，还说我记性变差了。
31. 医师：您之前有没有发现自己有类似抑郁的迹象？  
32. 患者：没有，这种情绪上的问题也是这次失眠之后才出现的。
33. 医师：平时晚上睡前有什么活动习惯吗，比如玩手机或看电视？  
34. 患者：会玩一会儿手机，有时候也看看电视剧。
35. 医师：晚上的房间环境怎么样？是不是有光或者噪音问题？  
36. 患者：房间挺安静的，没什么特别的干扰。
37. 医师：您有没有尝试过一些改善睡眠的方法？  
38. 患者：尝试过喝牛奶，还试过早点上床休息，但都没什么效果。
39. 医师：您有服用过任何药物来帮助睡眠吗？  
40. 患者：没有，我还没敢吃药。
41. 医师：最近做过体检或者相关检查吗？有没有其他身体疾病？  
42. 患者：做过体检，医生说没有问题。
43. 医师：好的，我先帮您做一个基础的检查。从血压、心率等来看一切正常。  
44. 患者：嗯，其实我看起来身体上没什么大问题。
45. 医师：然后我会参考您提到的情况，可能需要做一个睡眠方面的检查，比如多导睡眠图好吗？  
46. 患者：好的，我听医生安排。
47. 医师：根据检查结果和您的描述，您的睡眠效率低，入睡时间长，并且REM阶段比例减少。这些符合原发性失眠的表现。  
48. 患者：原发性失眠？那这个是什么原因导致的？
49. 医师：原发性失眠通常和心理、行为因素有关，比如压力、焦虑或者睡眠习惯不好等。  
50. 患者：原来是这样，那该怎么治疗呢？
"
