"1. 医师：你今天为什么来医院？  
2. 患者：医生，我最近呼吸很困难，还有点发烧。  
3. 医师：这是什么时候开始的？  
4. 患者：大概一个星期前，但是那时候症状没有现在这么严重。  
5. 医师：最开始的时候是什么样的症状？  
6. 患者：就是有点低烧，还有干咳，也没什么特别的感觉。  
7. 医师：之后怎么样了？症状有变化吗？  
8. 患者：后来越来越严重了，感觉很累，胸口有点闷，逐渐出现呼吸困难。  
9. 医师：咳嗽的时候有痰吗？  
10. 患者：不常有，有时候会有一点白色的痰。  
11. 医师：发烧的时候，体温最高到了多少度？  
12. 患者：昨天量过，38度5左右吧。  
13. 医师：这次症状对你平时的活动有什么影响吗？  
14. 患者：影响挺大的，特别是活动之后呼吸困难更明显，走几步路都觉得喘不过气来。  
15. 医师：你之前有类似的情况吗？  
16. 患者：没有，这还是第一次。  
17. 医师：你的既往身体状况怎么样？  
18. 患者：一直挺健康的，没什么身体问题。  
19. 医师：你有吸烟或者接触过什么化学物质吗？  
20. 患者：没有，我从来不吸烟，也没有接触过特别的化学物质。  
21. 医师：你对什么药物或者食物过敏吗？  
22. 患者：没有过敏史。  
23. 医师：家里有其他人也出现类似症状吗？  
24. 患者：没有，家里人都挺健康的。  
25. 医师：最近有没有外出旅行或者接触过什么禽畜？  
26. 患者：没有，我一直都在家，也没接触过动物。  
27. 医师：平时你家里的环境怎么样？空气还好吗？  
28. 患者：还可以，家里空气质量挺好的，也常开窗通风。  
29. 医师：最近有没有用过新的药物或者保健品？  
30. 患者：没有，一直没吃过这些东西。  
31. 医师：夜里睡觉的时候会不会有呼吸更困难的情况？  
32. 患者：有时候会觉得胸闷，得坐起来才能舒服一点。  
33. 医师：你的睡眠怎么样？这些症状有没有影响到休息？  
34. 患者：因为呼吸困难，最近晚上睡得不太好，总是醒。  
35. 医师：除了这些症状，有没有其他的不适？比如头痛、恶心或者腹痛？  
36. 患者：没有，其他地方倒没什么问题。  
37. 医师：你的食欲怎么样？体重有明显变化吗？  
38. 患者：食欲还行，体重没什么变化。  
39. 医师：你提到有时候有咳痰，那痰的颜色有变化吗？  
40. 患者：没有，痰一直是白色的，量也不多。  
41. 医师：平时的运动能力怎么样？现在与之前比有什么变化吗？  
42. 患者：以前可以跑步、打球，现在连走路都觉得累。  
43. 医师：你说的胸闷是一整天都有，还是某些时间段更明显？  
44. 患者：一整天都感觉胸闷，不过活动后更严重一些。  
45. 医师：最近有没有出现发冷、出汗的情况？  
46. 患者：有过，特别是在发烧的时候会觉得冷，之后又会出很多汗。  
47. 医师：你的水喝得够吗？平时小便正常吗？  
48. 患者：喝得还算够，小便正常，没有什么异常。  
49. 医师：非常感谢你详细的描述，综合你的临床表现、实验室检查和影像学结果，我认为这可能是急性嗜酸性粒细胞性肺炎（AEP）。  
50. 患者：哦，那这是什么病？严重吗？  
"
