"1. 医师：您好，今天感觉怎么样？什么地方不舒服呢？
2. 患者：医生，我右上腹这两天一直痛，特别昨天开始还发烧了。
3. 医师：右上腹的疼痛是什么时候开始的？是突然开始还是逐渐加重的？
4. 患者：大概两天前开始的，一开始是隐隐作痛，后来越来越厉害。
5. 医师：疼痛是持续的，还是有时候会缓解？
6. 患者：是持续的一直疼，没有缓解过。
7. 医师：您觉得疼痛有没有和吃东西有关系吗？
8. 患者：我感觉没有特别关系，不吃东西也痛。
9. 医师：疼痛会不会扩散到其他部位？
10. 患者：偶尔会有点蔓延到肩膀后面，但不是很明显。
11. 医师：发热是从什么时候开始的？体温高到多少？
12. 患者：就昨天开始发烧，最高到38.5度。
13. 医师：发烧有没有伴随寒战、出汗或者其他症状？
14. 患者：是有点发冷，然后会出汗，全身也乏力。
15. 医师：有没有恶心呕吐的症状？
16. 患者：有点恶心，但是没有吐。
17. 医师：最近食欲怎么样？
18. 患者：食欲不太好，总感觉不舒服。
19. 医师：之前有过类似的右上腹疼痛或者发热经历吗？
20. 患者：以前好像有过类似的右上腹隐痛，但没有这么严重，过几天自己好了。
21. 医师：您有胆结石的病史对吧？
22. 患者：是的，医生之前告诉我胆囊里有结石，但我没做过什么手术。
23. 医师：除了胆结石，还有没有其他的身体问题，比如糖尿病、高血压？
24. 患者：没有，其他毛病倒还好。
25. 医师：好的，听说现在家里人有来陪着您吗？
26. 患者：我女儿陪着我，她很担心我。
27. 医师：女儿，您有没有注意到您母亲这几天其他异常，比如皮肤黄、眼睛发黄？
28. 患者家属：没有，我觉得她皮肤和往常差不多，没发现黄疸。
29. 医师：近期大便颜色有没有特别浅，或者小便特别深？
30. 患者：大便和小便都还算正常，没特别注意颜色变化。
31. 医师：有没有觉得右上腹按压时特别痛？
32. 患者：对，就是按着特别痛的时候，我都不敢碰。
33. 医师：最近有没有体重急剧减少？或者晚上感觉出汗厉害？
34. 患者：没有体重变化，晚上出汗可能发烧导致的。
35. 医师：好的，那您睡眠怎么样，会不会因为疼痛睡不着？
36. 患者：最近感觉睡不好，总觉得右上腹不舒服，有点煎熬。
37. 医师：平时饮食习惯怎么样？会不会喜油腻食物？
38. 患者：我喜欢清淡的，油腻的东西吃了不太舒服。
39. 医师：好的，那您有没有最近服用过其他药物？
40. 患者：没有用过特别的药物，就平时感冒了吃点药。
41. 医师：您有没有类似心脏疾病或者其他心血管疾病的病史？
42. 患者：没有，我心脏方面也挺好的。
43. 医师：好的，那您右上腹的痛感会随着呼吸变化吗？
44. 患者：好像呼吸深一点会更痛。
45. 医师：好的，我大体了解了，现在稍等，我们需要做一些检查和进一步分析。
46. 患者：好，医生您看情况吧，希望能快点好起来。
47. 医师：根据检查情况，您的血液显示炎症指标增高，超声提示胆囊炎表现。
48. 患者：胆囊炎？就是因为以前的结石吗？
49. 医师：是的，您的结石可能造成胆囊管梗阻，引起化脓性感染，就是急性胆囊炎。
50. 患者：明白了，医生，那应该怎么处理？
"
