"1. 医师：您这次是因为什么不舒服过来看病的？
2. 患者：医生，我最近总觉得胸口有点闷痛，有时候还觉得气短和心跳得厉害。
3. 医师：什么时候开始这样的症状？
4. 患者：大概两周前吧，开始是运动的时候觉得胸口有点闷，休息后就好些了。
5. 医师：最近有没有症状加重或者频率增加？
6. 患者：是的，这几天胸痛的次数多了，就算休息的时候有时候也会觉得气短。
7. 医师：这个胸痛是什么感觉呢？是刺痛，还是压迫、闷痛？
8. 患者：有点像被什么东西压着，闷闷的。
9. 医师：每次胸痛会持续多长时间？
10. 患者：一般五到十分钟吧。
11. 医师：那您发作时候有没有放射到其他部位，比如手臂、下巴或者背部？
12. 患者：没有，就胸口闷痛。
13. 医师：您有没有在胸痛的时候出汗、恶心、呕吐或者头晕？
14. 患者：没有这些情况。
15. 医师：发作的时候有没有感觉呼吸更加急促或者心跳加快？
16. 患者：有，特别是最近，我能感觉到心跳加快。
17. 医师：您的家人有没有注意到您最近还有其他表现，比如脸色苍白或者出冷汗？
18. 患者家属：没有注意到他有这些，就是他说气短得比较厉害。
19. 医师：您平时走路或是爬楼梯会觉得很吃力吗？
20. 患者：以前没有，这两周感觉有点吃力。
21. 医师：过去有没有得过心脏病或者中风的病史？
22. 患者：没有得过。
23. 医师：那高血压、糖尿病有没有？
24. 患者：我有高血压，但是不怎么规律吃药。
25. 医师：血压大概多久以前诊断的？
26. 患者：有十多年了吧。
27. 医师：家里人有没有类似的心脏病或其他慢性病史？
28. 患者：我父亲有高血压，其他没有了。
29. 医师：您吸烟或者饮酒吗？
30. 患者：吸烟有三十年了吧，每天差不多20支，酒喝得很少。
31. 医师：生活上压力大吗？有没有特别疲倦或紧张的情况？
32. 患者：有时候工作上会有点压力，不过没到特别紧张。
33. 医师：平时吃的东西偏油腻吗？比如肥肉、油炸食品？
34. 患者：偶尔吃点油腻的，但吃得不算太多吧。
35. 医师：这段时间有没有发现腿脚肿胀？
36. 患者：没有没有，都挺正常的。
37. 医师：您最近体重有没有显著变化？
38. 患者：没有，我体重一直差不多。
39. 医师：其他地方，比如胃部或者背部，有没有不舒服的症状？
40. 患者：没有，只有胸口不舒服。
41. 医师：发作时会不会有感觉胸口堵得厉害，像喘不上气一样？
42. 患者：对，好几次都觉得特别喘不过气。
43. 医师：您知道自己血脂的情况吗？
44. 患者：检查过几次，不太清楚具体数字，医生好像说高了一点。
45. 医师：您有没有检查过心电图、超声心动图之类？
46. 患者：好像做过，但只是常规体检的时候做的，没听医生说什么问题。
47. 医师：平时您的运动量怎么样？走路多吗？
48. 患者：不是很多，就上下班走走，平时坐着比较多。
49. 医师：您现在的症状，我初步考虑是心血管的问题，需要进一步检查明确。
50. 患者：嗯，好的医生，那我配合检查。
医师诊断为不稳定性心绞痛（UA）。"
