"1. 医师：您好，今天是什么让您来医院呢？  
2. 患者：医生，我从两个小时前开始感觉胸很痛，出了一身冷汗，心跳得很厉害。  
3. 医师：您的胸痛是突然开始的吗？  
4. 患者：是的，刚开始的时候只是有些闷，后来就越来越痛了，好像被什么压住了一样。  
5. 医师：胸痛会不会往其他地方扩散？比如肩膀、手臂或者下巴？  
6. 患者：会往左边肩膀痛，而且感觉很沉重。  
7. 医师：当时有没有在做什么引起胸痛的事情，还是说是在休息的时候开始的？  
8. 患者：我当时只是坐着休息，什么都没有做，就突然开始痛了。  
9. 医师：胸痛有持续多久了？  
10. 患者：大概两个小时差不多吧。  
11. 医师：除了痛和出汗，有没有其他不舒服，比如头晕、恶心或者气短？  
12. 患者：有点想吐，但还没有吐出来，呼吸没有太大的问题。  
13. 医师：这个胸痛是第一次发生还是之前也有过类似的情况？  
14. 患者：以前没有过这样痛，这是第一次。  
15. 医师：您的饮食、睡眠最近怎么样，有什么特别的变化吗？  
16. 患者：最近没什么特别的，就是吃得和平时一样，睡觉也还可以。  
17. 医师：目前有没有在服用什么药物？  
18. 患者：有，我平时有糖尿病，一直在用药控制血糖。  
19. 医师：除了糖尿病，有没有高血压、冠心病之类的病史？  
20. 患者：好像没有被确诊过这些病。  
21. 医师：家里有没有人有心脏病史，比如心梗或者中风？  
22. 患者：我的家人好像没有这样的病史。  
23. 医师：平时会抽烟或者喝酒吗？  
24. 患者：都没有，我从不抽烟，也不喝酒。  
25. 医师：那这个胸痛发生时，有没有感觉心里特别慌乱或者非常害怕？  
26. 患者：有一点害怕，特别是痛得越来越厉害的时候。  
27. 医师：以前有没有做过心电图或者心脏的检查？  
28. 患者：没有做过，之前体检也没有说心脏问题。  
29. 医师：睡觉的枕头是不是需要垫得特别高，否则会喘不过气？  
30. 患者：不用，我睡觉挺正常的。  
31. 医师：请问有没有经常感到腿部肿胀或者发冷？  
32. 患者：没有，我的腿脚挺好的，也不会肿。  
33. 医师：在两小时内用过什么药物来缓解痛吗？  
34. 患者：没有，我就想着来医院看看怎么回事。  
35. 医师：血糖平时控制得怎么样？医生有没有说过需要特别关注什么？  
36. 患者：血糖控制得还行，医生说平时要注意饮食和按时用药。  
37. 医师：您今天心跳明显有些快，有没有感觉到自己心跳很用力或者不规律？  
38. 患者：有，能感觉到心跳特别快，整个人很不舒服。  
39. 医师：有没有特别激烈的活动或者过于紧张的时候心跳也会很快？  
40. 患者：没有，我平时也不怎么剧烈运动。  
41. 医师：那最近有没有感冒或者发烧的情况？  
42. 患者：没有，我最近身体挺好的。  
43. 医师：平时吃饭的时候会不会感觉胸口堵或者吞咽困难？  
44. 患者：不会，吃东西挺正常的。  
45. 医师：那您有没有特别焦虑或者压力很大的事情发生？  
46. 患者：没有特别大的事情，只是普通日子过着。  
47. 医师：您说心脏很不舒服，这种感觉和之前有不一样吗？  
48. 患者：是，感觉很奇怪，从来没这样难受过。  
49. 医师：听起来您目前的症状像是不稳定型心绞痛，我们会安排进一步检查和治疗，请不要担心。  
50. 患者：好的医生，那麻烦您了！"
