"1. 医生：您最近身体有什么不舒服的地方吗？  
2. 患者：我咳嗽厉害，有点乏力，呼吸不太顺畅。  
3. 医生：咳嗽有多久了？  
4. 患者：大概一个星期了。  
5. 医生：咳嗽的时候有没有痰？痰的颜色呢？  
6. 患者：有一点点白色的黏痰，不多。  
7. 医生：您有没有发烧或者体温升高？  
8. 患者：我感觉好像有点发热，但量了体温才查出来高。  
9. 医生：有没有感觉喉咙痛或者胸痛呢？  
10. 患者：喉咙不疼，也没有胸口痛。  
11. 医生：最近是不是觉得味觉也有变化？  
12. 患者：是的，我吃东西的时候觉得味道变得很淡了。  
13. 医生：活动时气短是从什么时候开始的？  
14. 患者：就是咳嗽开始以后，慢慢地气短越来越严重了。  
15. 医生：现在日常活动会不会很吃力？  
16. 患者：基本上很难起身活动，大多数时间都躺着。  
17. 医生：身体有没有出现浮肿，特别是下肢？  
18. 患者：没有浮肿。  
19. 医生：您以前有慢性肺病或者其他呼吸道问题吗？  
20. 患者：没有，我以前肺都没问题。  
21. 医生：有没有高血压、糖尿病或其他慢性病史？  
22. 患者：我有糖尿病，已经好多年了。  
23. 医生：平时有没有吸烟或者喝酒的习惯？  
24. 患者：从来没有吸烟，也不怎么喝酒。  
25. 医生：您的家人有没有出现类似的症状？  
26. 患者：没有，家里人都挺健康的。  
27. 医生：您最近有没有和谁密切接触过，特别是感冒或发热的人？  
28. 患者：没有特别密切接触，但是我去过市场，人很多。  
29. 医生：您以前有没有类似的呼吸困难经历？  
30. 患者：没有，这是第一次感觉这样。  
31. 医生：您现在还有发热吗？  
32. 患者：不确定，不过感觉还是有点热。  
33. 医生：您提到糖尿病，平时血糖控制得怎么样？  
34. 患者：有点高，不是很稳定，但我有吃药。  
35. 医生：现在能描述一下呼吸困难的情况吗？是在休息时还是活动后恶化？  
36. 患者：只要一活动就特别气短，躺着的时候好一点。  
37. 医生：有没有夜间不能平躺的情况或者醒来觉得喘不过气来？  
38. 患者：没有这个情况，我能平躺着睡。  
39. 医生：您有没有服用其他药物，比如止咳药或退烧药？  
40. 患者：没有用，只是为了糖尿病吃药。  
41. 医生：最近有没有做过胸部的X光或者CT检查？  
42. 患者：没有，还没去做。  
43. 医生：我们在检查中发现您血氧有点低，平时有没有发现类似问题？  
44. 患者：没有，自己量过几次血氧都在正常范围内。  
45. 医生：您对周围的环境，比如空气质量，最近有没有感觉特别敏感？  
46. 患者：没特别感觉，但天气冷的时候好像咳得更多。  
47. 医生：您住的地方通风状况怎么样？  
48. 患者：还不错，每天都会开窗通风。  
49. 医生：好的，根据您的症状和一些检查结果，我们怀疑您可能感染了新冠病毒。  
50. 患者：新冠？那需要怎么治疗吗？"
