"1. 医师：你好，请问你今天来有什么不舒服吗？  
2. 患者：医生，我这几天一直发烧，还嗓子疼，吃饭也没什么胃口。  
3. 医师：发烧有多久了？大概会烧到多少度？  
4. 患者：大概有一个星期了，温度大多在38.5℃到39.5℃之间吧。  
5. 医师：你发烧是突然出现的吗？有没有其他不适，比如冷颤或者身体很酸痛？  
6. 患者：是突然开始的，感觉有点冷，却没觉得特别酸痛。  
7. 医师：嗓子疼的症状是什么时候开始的？  
8. 患者：差不多也是一周前开始的，刚开始没那么严重，但后来吞咽东西就更疼了。  
9. 医师：咽喉痛会让你说话或者喝水很困难吗？  
10. 患者：喝水的时候还好，但说话多了会有点累，而且吞咽比较疼。  
11. 医师：有没有觉得脖子或者其他地方的淋巴结有肿起来？  
12. 患者：嗯，我觉得脖子两边的有点肿，而且还挺硬的。  
13. 医师：按压这些淋巴结会疼吗？  
14. 患者：还好，按着不太疼。  
15. 医师：最近有没有其他症状，比如恶心、呕吐、腹痛或者腹泻？  
16. 患者：没有，这些症状都没有。  
17. 医师：那有没有头痛、头晕或者眼睛视物不清？  
18. 患者：也没有这些问题。  
19. 医师：胸口有没有不舒服，比如胸闷、心慌或者气短？  
20. 患者：胸口挺正常的，没有这些情况。  
21. 医师：平时身体情况怎么样？有没有慢性疾病或者过敏？  
22. 患者：以前身体挺好的，没有慢性病，也不过敏。  
23. 医师：一周内有没有接触过什么可能感染的东西，或者刚打完疫苗？  
24. 患者：没有，我也没出门很多，也没打过疫苗。  
25. 医师：平时生活习惯怎么样？饮食、作息都规律吗？  
26. 患者：还算规律，但最近因为嗓子痛和发烧，休息和吃饭都不太好。  
27. 医师：有没有服用什么药物尝试退烧或者缓解不适？  
28. 患者：吃过一些普通退烧药，好像效果不太明显。  
29. 医师：你的家人有没有类似的症状，或者最近有人生病了吗？  
30. 患者：没有，我家里人都挺健康的。  
31. 医师：我看你的咽喉红肿得比较明显，扁桃体有些肿大，而且上面有白色分泌物。你以前有过类似的情况吗？  
32. 患者：没有，这是我第一次出现这样的情况。  
33. 医师：我感觉你颌下和前颈的淋巴结有些肿大，腋下和腹股沟有没有觉得有类似的情况？  
34. 患者：没有，只有脖子这里感觉明显一点。  
35. 医师：我听了你的心肺，没什么特别的异常。你平时锻炼身体吗？  
36. 患者：还好，我喜欢打篮球，但最近没怎么运动。  
37. 医师：听起来你的身体基础情况不错。我刚刚按了你的肚子，肝脾这里有些肿大，你之前知道这个情况吗？  
38. 患者：不知道，从来没听人说过我有肝脾问题。  
39. 医师：你的皮肤很正常，没有黄疸或者皮疹，这一点比较好。有没有什么不舒服我还没问到的地方？  
40. 患者：暂时没有想到其他异常的地方。  
41. 医师：你的血常规检查中白细胞和淋巴细胞比例都偏高，还有一些异型淋巴细胞，这是有点异常的。  
42. 患者：这是什么意思啊？这样有问题吗？  
43. 医师：另外你的肝功能指标也稍微偏高，肝脏可能有点受影响。最近有没有不小心吃到不干净的食物？  
44. 患者：没有，吃的都挺正常的。  
45. 医师：你的咽喉病原体检测中，EB病毒的量有一定升高，但其他常见的病原体都没有问题。  
46. 患者：EB病毒是什么啊？这种病毒很严重吗？  
47. 医师：这种病毒可能引起你现在的症状，医学上我们把它引起的这种疾病叫做传染性单核细胞增多症。  
48. 患者：这个病会传染给家里人和朋友吗？  
49. 医师：它主要通过亲密接触传播，比如唾液接触，但一般不是高传染性的，家里人只要注意卫生就好。  
50. 患者：那这个病会很严重吗？需要怎么治疗？  
结束。"
