"1. 医师：您好，请问今天是因为什么不舒服来就诊的呢？  
2. 患者：我头痛，觉得很疲劳，还有点恶心。  
3. 医师：这些症状是从什么时候开始的？  
4. 患者：大概一个小时前开始的。  
5. 医师：那在症状开始前，发生过什么特别的事情吗？  
6. 患者：我刚从一个很热的地方回来，在那里工作了很长时间。  
7. 医师：是室外的高温环境工作吗？  
8. 患者：对，是在户外，太阳很晒，特别热。  
9. 医师：除了头痛、疲惫和恶心，还有没有其他一些感受，比如发烧或者意识不清的情况？  
10. 患者：没有发烧，也没有意识不清，就是觉得很累，很难受。  
11. 医师：那您有没有感到口渴？出汗多吗？  
12. 患者：是的，非常渴，出汗也特别多。  
13. 医师：有心跳加快的感觉吗？心脏有没有不舒服？  
14. 患者：好像有点心跳快，但没有胸痛，也没有其他不舒服的感觉。  
15. 医师：最近有没有感到呼吸困难或者疲劳严重到无法活动？  
16. 患者：呼吸倒是没什么问题，就是特别疲倦。  
17. 医师：之前有类似的症状出现过吗？  
18. 患者：没有，这是第一次。  
19. 医师：有高血压、糖尿病或者其他慢性疾病吗？  
20. 患者：没有，我平时身体一直挺好的。  
21. 医师：平时有在吃什么药吗？或者对什么药物或食物过敏？  
22. 患者：没有吃药，也没有过敏史。  
23. 医师：您感觉冷还是热呢？皮肤有没有特别干或者湿？  
24. 患者：觉得特别热，皮肤好像有点湿湿的。  
25. 医师：您今天大概喝了多少水？有没有注意到尿的量和颜色？  
26. 患者：喝的不多，可能只有一两杯。尿很少，而且颜色很黄。  
27. 医师：在晒太阳工作时，有采取过防暑的措施吗？  
28. 患者：只是偶尔去休息了一下，喝了点水，其他的就没做太多了。  
29. 医师：现在症状有没有加重，比如头痛更严重了或者恶心更厉害了？  
30. 患者：好像是比之前更严重一点了，头痛加重了。  
31. 医师：您在发作时有昏倒或者抽搐过吗？  
32. 患者：没有，状态一直还算清醒。  
33. 医师：这次症状发作前的几天，有没有感冒或者其他身体不适的情况？  
34. 患者：没有，之前状态挺好的。  
35. 医师：有没有心脏或者神经系统相关的疾病史？  
36. 患者：没有。  
37. 医师：最近一次体检是什么时候，结果有没有异常？  
38. 患者：大概半年前，所有指标都正常。  
39. 医师：您头痛的疼痛程度如何？是刺痛、胀痛还是其他感觉？  
40. 患者：就是一种胀胀的痛，没那么剧烈，但很难受。  
41. 医师：在工作期间，是否有人也出现类似症状？  
42. 患者：没有，别人好像都挺正常的。  
43. 医师：工作环境中有没有接触到一些特殊的物品，比如毒气或者化学品？  
44. 患者：没有接触到特殊的东西。  
45. 医师：过去的一小时内，您有没有尝试吃药或者其他处理方式？  
46. 患者：没有，我直接来医院了。  
47. 医师：很好，那我量下您的体温，脉搏和血压，稍等。  
48. 患者：好的。  
49. 医师：您现在体温有点高，心率也快，血压稍低，我们先做一些进一步的检查，稍后告诉您结果。  
50. 患者：好的，谢谢医生。"
